,precision,recall,f1-score,support
0,0.9928716904276986,0.9948979591836735,0.9938837920489296,980.0
1,0.9895104895104895,0.9973568281938326,0.9934181658622203,1135.0
2,0.9912875121006777,0.9922480620155039,0.9917675544794189,1032.0
3,0.9862204724409449,0.9920792079207921,0.9891411648568608,1010.0
4,0.9879032258064516,0.9979633401221996,0.9929078014184397,982.0
5,0.9931972789115646,0.9820627802690582,0.9875986471251409,892.0
6,0.9926778242677824,0.9906054279749478,0.9916405433646813,958.0
7,0.9883495145631068,0.9902723735408561,0.989310009718173,1028.0
8,0.9937952430196484,0.9866529774127311,0.9902112313240597,974.0
9,0.9929859719438878,0.9821605550049554,0.9875435974090683,1009.0
accuracy,0.9908,0.9908,0.9908,0.9908
macro avg,0.9908799222992254,0.9906299511638551,0.9907422507606991,10000.0
weighted avg,0.9908141061409785,0.9908,0.9907945441047327,10000.0
