epoch,accuracy,loss,val_accuracy,val_loss
1,0.9215185046195984,0.25649935007095337,0.981166660785675,0.07152363657951355
2,0.97688889503479,0.07543795555830002,0.9883333444595337,0.04351550340652466
3,0.9835925698280334,0.05267344042658806,0.9883333444595337,0.03660198301076889
4,0.9863333106040955,0.04348862171173096,0.9891666769981384,0.03401970863342285
5,0.9890184998512268,0.03625078126788139,0.9908333420753479,0.03161725774407387
6,0.9905555844306946,0.030242519453167915,0.9911666512489319,0.027959691360592842
7,0.9919815063476562,0.025687238201498985,0.9916666746139526,0.030898669734597206
8,0.9925185441970825,0.022450966760516167,0.9903333187103271,0.033504508435726166
9,0.9924814701080322,0.02192450873553753,0.9918333292007446,0.03280176967382431
10,0.9942777752876282,0.017698984593153,0.9911666512489319,0.032648198306560516
